0,1,2,3,4,5,6,7,8,9,10,11,12
27,28,49,40,60,30,80,20,10,70,7,8,9
27,28,49,30,60,10,40,20,80,70,7,8,9
27,28,31,32,71,72,49,80,57,58,4,5,7
27,28,49,60,80,30,40,20,70,10,7,8,9
27,28,31,32,71,72,49,57,58,40,4,5,7
27,28,31,32,71,72,49,80,40,60,7,8,9
27,28,49,31,32,71,72,30,80,60,7,8,9
27,28,49,31,32,71,72,57,58,80,7,8,9
27,28,49,31,32,71,72,80,57,58,4,5,7
27,28,31,32,71,72,49,80,57,58,7,8,9
27,28,60,49,40,70,30,10,20,80,7,8,9
27,28,49,60,40,80,30,20,10,70,7,8,9
27,28,49,31,32,71,72,60,40,80,7,8,9
27,28,31,32,71,72,49,80,57,58,4,5,7
27,28,31,32,71,72,49,80,57,58,4,5,7
27,28,31,32,71,72,49,40,80,70,7,8,9
27,28,49,31,32,71,72,57,58,80,4,5,7
27,28,31,32,71,72,49,40,57,58,4,5,7
27,28,49,31,32,71,72,80,30,20,7,8,9
27,28,31,32,71,72,49,80,57,58,7,8,9
27,28,49,20,80,60,30,40,70,10,7,8,9
27,28,49,60,80,30,40,20,10,70,7,8,9
27,28,49,40,30,20,80,60,70,10,7,8,9
27,28,49,60,30,20,80,40,10,70,7,8,9
27,28,31,32,71,72,49,60,80,40,7,8,9
27,28,49,31,32,71,72,80,57,58,7,8,9
27,28,31,32,71,72,49,80,40,57,4,5,7
27,28,49,31,32,71,72,57,58,17,7,8,9
27,28,31,32,71,72,49,80,57,58,4,5,7
27,28,49,60,30,40,80,20,70,10,7,8,9
27,28,49,60,30,20,40,80,10,70,7,8,9
27,28,49,30,60,40,20,80,70,10,7,8,9
27,28,49,60,30,20,40,80,10,70,7,8,9
27,28,49,80,60,30,40,20,70,10,7,8,9
27,28,49,30,20,60,40,80,10,70,7,8,9
27,28,49,80,60,40,30,31,32,71,7,8,9
27,28,40,30,10,70,60,49,31,32,7,8,9
27,28,49,40,60,80,31,32,71,72,7,8,9
27,28,49,40,30,20,60,80,70,10,7,8,9
27,28,31,32,71,72,49,57,58,17,4,5,7
27,28,31,32,71,72,49,57,58,80,7,8,9
27,28,49,40,30,20,80,60,70,10,7,8,9
27,28,49,60,30,20,80,40,10,70,7,8,9
27,28,31,32,71,72,49,80,57,58,4,5,7
27,28,49,30,60,20,40,80,70,10,7,8,9
27,28,49,40,80,20,60,30,70,10,7,8,9
27,28,31,32,71,72,49,80,30,57,4,5,7
27,28,40,49,31,32,71,72,10,80,7,8,9
27,28,31,32,71,72,49,57,58,80,7,8,9
27,28,49,20,30,40,60,80,10,70,7,8,9
27,28,31,32,71,72,49,57,58,80,7,8,9
27,28,31,32,71,72,49,57,58,80,4,5,7
27,28,31,32,71,72,49,80,57,58,4,5,7
27,28,49,30,60,20,80,40,10,70,7,8,9
27,28,40,10,70,49,31,32,71,72,7,8,9
27,28,49,20,60,30,40,80,10,70,7,8,9
27,28,49,40,30,80,60,20,10,70,7,8,9
27,28,49,31,32,71,72,80,30,40,7,8,9
27,28,31,32,71,72,49,57,58,80,4,5,7
27,28,49,60,30,40,80,20,10,31,7,8,9
27,28,31,32,71,72,49,80,57,58,7,8,9
27,28,31,32,71,72,49,80,57,58,7,8,9
27,28,49,80,60,30,20,40,70,10,7,8,9
27,28,49,60,40,30,80,20,10,31,7,8,9
27,28,40,31,32,71,72,49,70,30,7,8,9
27,28,40,49,30,10,70,60,20,80,7,8,9
27,28,49,30,80,60,40,20,10,69,7,8,9
27,28,49,31,32,71,72,80,57,58,7,8,9
27,28,31,32,71,72,49,57,58,80,4,5,7
27,28,49,31,32,71,72,40,80,60,7,8,9
27,28,31,32,71,72,49,80,57,58,4,5,7
27,28,31,32,71,72,49,80,57,58,7,8,9
27,28,49,31,32,71,72,80,57,58,7,8,9
27,28,49,40,30,60,80,20,10,70,7,8,9
27,28,31,32,71,72,49,40,57,58,4,5,7
27,28,49,31,32,71,72,80,57,58,7,8,9
27,28,49,31,32,71,72,40,80,57,4,5,7
27,28,49,30,60,20,40,80,10,70,7,8,9
27,28,49,30,40,60,80,20,10,70,7,8,9
